path,verdict,detail,samplerate,cutoff_hz,nyquist_hz,slope_db_per_khz
/home/adam/driveBig/Music/New unformated songs/(2022) The Dream  (Deluxe)/01. Bane.flac,SUSPECT,"hard cutoff at ~21756Hz, steep 13.1dB/kHz -> likely transcoded from 320kbps (or near-transparent) MP3/lossy",48000,21756,24000,13.1
/home/adam/driveBig/Music/New unformated songs/(2022) The Dream  (Deluxe)/02. U&ME.flac,SUSPECT,"hard cutoff at ~22266Hz, steep 18.2dB/kHz -> likely transcoded from 320kbps (or near-transparent) MP3/lossy",48000,22266,24000,18.2
/home/adam/driveBig/Music/New unformated songs/(2022) The Dream  (Deluxe)/03. Hard Drive Gold.flac,SUSPECT,"hard cutoff at ~21902Hz, steep 12.9dB/kHz -> likely transcoded from 320kbps (or near-transparent) MP3/lossy",48000,21902,24000,12.9
/home/adam/driveBig/Music/New unformated songs/(2022) The Dream  (Deluxe)/04. Happier When You're Gone.flac,SUSPECT,"hard cutoff at ~21727Hz, steep 12.3dB/kHz -> likely transcoded from 320kbps (or near-transparent) MP3/lossy",48000,21727,24000,12.3
/home/adam/driveBig/Music/New unformated songs/(2022) The Dream  (Deluxe)/05. The Actor.flac,GRADUAL_ROLLOFF,"rolloff at ~21439Hz but gentle (7.6dB/kHz) - could be an old master/analog source, not necessarily transcoded",48000,21439,24000,7.6
/home/adam/driveBig/Music/New unformated songs/(2022) The Dream  (Deluxe)/06. Get Better.flac,SUSPECT,"hard cutoff at ~21967Hz, steep 13.5dB/kHz -> likely transcoded from 320kbps (or near-transparent) MP3/lossy",48000,21967,24000,13.5
/home/adam/driveBig/Music/New unformated songs/(2022) The Dream  (Deluxe)/07. Chicago.flac,GRADUAL_ROLLOFF,"rolloff at ~21832Hz but gentle (12.0dB/kHz) - could be an old master/analog source, not necessarily transcoded",48000,21832,24000,12
/home/adam/driveBig/Music/New unformated songs/(2022) The Dream  (Deluxe)/08. Philadelphia.flac,SUSPECT,"hard cutoff at ~21961Hz, steep 17.3dB/kHz -> likely transcoded from 320kbps (or near-transparent) MP3/lossy",48000,21961,24000,17.3
/home/adam/driveBig/Music/New unformated songs/(2022) The Dream  (Deluxe)/09. Walk a Mile.flac,SUSPECT,"hard cutoff at ~21762Hz, steep 12.8dB/kHz -> likely transcoded from 320kbps (or near-transparent) MP3/lossy",48000,21762,24000,12.8
/home/adam/driveBig/Music/New unformated songs/(2022) The Dream  (Deluxe)/10. Delta.flac,SUSPECT,"hard cutoff at ~22201Hz, steep 13.8dB/kHz -> likely transcoded from 320kbps (or near-transparent) MP3/lossy",48000,22201,24000,13.8
/home/adam/driveBig/Music/New unformated songs/(2022) The Dream  (Deluxe)/11. Losing My Mind.flac,SUSPECT,"hard cutoff at ~21902Hz, steep 14.1dB/kHz -> likely transcoded from 320kbps (or near-transparent) MP3/lossy",48000,21902,24000,14.1
/home/adam/driveBig/Music/New unformated songs/(2022) The Dream  (Deluxe)/12. Powders.flac,GRADUAL_ROLLOFF,"rolloff at ~21316Hz but gentle (9.3dB/kHz) - could be an old master/analog source, not necessarily transcoded",48000,21316,24000,9.3
/home/adam/driveBig/Music/New unformated songs/(2022) The Dream  (Deluxe)/13. The Actor.flac,GRADUAL_ROLLOFF,"rolloff at ~21996Hz but gentle (6.0dB/kHz) - could be an old master/analog source, not necessarily transcoded",48000,21996,24000,6
/home/adam/driveBig/Music/New unformated songs/(2022) The Dream  (Deluxe)/14. U&ME.flac,SUSPECT,"hard cutoff at ~22963Hz, steep 17.3dB/kHz -> likely transcoded from 320kbps (or near-transparent) MP3/lossy",48000,22963,24000,17.3
/home/adam/driveBig/Music/New unformated songs/(2022) The Dream  (Deluxe)/15. Hard Drive Gold.flac,GRADUAL_ROLLOFF,"rolloff at ~20876Hz but gentle (8.3dB/kHz) - could be an old master/analog source, not necessarily transcoded",44100,20876,22050,8.3
/home/adam/driveBig/Music/New unformated songs/(2022) The Dream  (Deluxe)/16. Hard Drive Gold.flac,CLEAN,content extends to 21226Hz (Nyquist 22050Hz) - looks genuine,44100,21226,22050,11.2
/home/adam/driveBig/Music/New unformated songs/(2022) The Dream  (Deluxe)/17. U&ME.flac,SUSPECT,"hard cutoff at ~22811Hz, steep 13.3dB/kHz -> likely transcoded from 320kbps (or near-transparent) MP3/lossy",48000,22811,24000,13.3
/home/adam/driveBig/Music/New unformated songs/01  - Girls &amp; Boys.flac,GRADUAL_ROLLOFF,"rolloff at ~17501Hz but gentle (4.3dB/kHz) - could be an old master/analog source, not necessarily transcoded",44100,17501,22050,4.3
"/home/adam/driveBig/Music/New unformated songs/01 - Slow Night, So Long (Original Mix) - Kings Of Leon.flac",GRADUAL_ROLLOFF,"rolloff at ~17162Hz but gentle (1.5dB/kHz) - could be an old master/analog source, not necessarily transcoded",44100,17162,22050,1.5
/home/adam/driveBig/Music/New unformated songs/01 The Next Episode [Explicit].flac,SUSPECT,"hard cutoff at ~19418Hz, steep 25.4dB/kHz -> likely transcoded from 192kbps MP3",44100,19418,22050,25.4
/home/adam/driveBig/Music/New unformated songs/02  - Tracy Jacks.flac,GRADUAL_ROLLOFF,"rolloff at ~15988Hz but gentle (3.9dB/kHz) - could be an old master/analog source, not necessarily transcoded",44100,15988,22050,3.9
/home/adam/driveBig/Music/New unformated songs/02 - King of the Rodeo (Original Mix) - Kings Of Leon.flac,GRADUAL_ROLLOFF,"rolloff at ~17539Hz but gentle (2.1dB/kHz) - could be an old master/analog source, not necessarily transcoded",44100,17539,22050,2.1
/home/adam/driveBig/Music/New unformated songs/02 Ila Nzour Nebra.flac,SUSPECT,"hard cutoff at ~19014Hz, steep 14.1dB/kHz -> likely transcoded from 192kbps MP3",44100,19014,22050,14.1
/home/adam/driveBig/Music/New unformated songs/03  - End of a Century.flac,GRADUAL_ROLLOFF,"rolloff at ~16548Hz but gentle (4.3dB/kHz) - could be an old master/analog source, not necessarily transcoded",44100,16548,22050,4.3
/home/adam/driveBig/Music/New unformated songs/03 - Taper Jean Girl (Original Mix) - Kings Of Leon.flac,GRADUAL_ROLLOFF,"rolloff at ~18798Hz but gentle (2.8dB/kHz) - could be an old master/analog source, not necessarily transcoded",44100,18798,22050,2.8
/home/adam/driveBig/Music/New unformated songs/03 Habibi.flac,SUSPECT,"hard cutoff at ~19418Hz, steep 29.4dB/kHz -> likely transcoded from 192kbps MP3",44100,19418,22050,29.4
/home/adam/driveBig/Music/New unformated songs/04  - Parklife.flac,GRADUAL_ROLLOFF,"rolloff at ~15768Hz but gentle (4.9dB/kHz) - could be an old master/analog source, not necessarily transcoded",44100,15768,22050,4.9
/home/adam/driveBig/Music/New unformated songs/04 - Pistol of Fire (Original Mix) - Kings Of Leon.flac,GRADUAL_ROLLOFF,"rolloff at ~18885Hz but gentle (2.0dB/kHz) - could be an old master/analog source, not necessarily transcoded",44100,18885,22050,2
/home/adam/driveBig/Music/New unformated songs/04 Everybody Hurts.flac,SUSPECT,"hard cutoff at ~19541Hz, steep 30.0dB/kHz -> likely transcoded from 256/224kbps MP3/AAC",44100,19541,22050,30
/home/adam/driveBig/Music/New unformated songs/05  - Bank Holiday.flac,GRADUAL_ROLLOFF,"rolloff at ~17183Hz but gentle (1.8dB/kHz) - could be an old master/analog source, not necessarily transcoded",44100,17183,22050,1.8
/home/adam/driveBig/Music/New unformated songs/05 - Milk (Original Mix) - Kings Of Leon.flac,GRADUAL_ROLLOFF,"rolloff at ~13857Hz but gentle (1.9dB/kHz) - could be an old master/analog source, not necessarily transcoded",44100,13857,22050,1.9
/home/adam/driveBig/Music/New unformated songs/05 Wahrane Wahrane.flac,SUSPECT,"hard cutoff at ~19466Hz, steep 26.4dB/kHz -> likely transcoded from 192kbps MP3",44100,19466,22050,26.4
/home/adam/driveBig/Music/New unformated songs/06  - Badhead.flac,GRADUAL_ROLLOFF,"rolloff at ~15838Hz but gentle (3.5dB/kHz) - could be an old master/analog source, not necessarily transcoded",44100,15838,22050,3.5
/home/adam/driveBig/Music/New unformated songs/06 - The Bucket (Original Mix) - Kings Of Leon.flac,GRADUAL_ROLLOFF,"rolloff at ~16225Hz but gentle (2.3dB/kHz) - could be an old master/analog source, not necessarily transcoded",44100,16225,22050,2.3
/home/adam/driveBig/Music/New unformated songs/06 9 to 5.flac,SUSPECT,"hard cutoff at ~19434Hz, steep 27.8dB/kHz -> likely transcoded from 192kbps MP3",44100,19434,22050,27.8
/home/adam/driveBig/Music/New unformated songs/07  - The Debt Collector.flac,GRADUAL_ROLLOFF,"rolloff at ~17011Hz but gentle (3.0dB/kHz) - could be an old master/analog source, not necessarily transcoded",44100,17011,22050,3
/home/adam/driveBig/Music/New unformated songs/07 - Soft (Original Mix) - Kings Of Leon.flac,GRADUAL_ROLLOFF,"rolloff at ~16015Hz but gentle (2.0dB/kHz) - could be an old master/analog source, not necessarily transcoded",44100,16015,22050,2
/home/adam/driveBig/Music/New unformated songs/07 Goulou L'Mama.flac,SUSPECT,"hard cutoff at ~19477Hz, steep 33.2dB/kHz -> likely transcoded from 192kbps MP3",44100,19477,22050,33.2
