path,verdict,detail,samplerate,cutoff_hz,nyquist_hz,slope_db_per_khz
/home/adam/driveBig/Music/My Playlist/2085 - AJR - The Maybe Man.flac,CLEAN,content extends to 21199Hz (Nyquist 22050Hz) - looks genuine,44100,21199,22050,17.4
/home/adam/driveBig/Music/My Playlist/2good - Balu Brigada - BALU.flac,CLEAN,content extends to 21377Hz (Nyquist 22050Hz) - looks genuine,44100,21377,22050,17.3
/home/adam/driveBig/Music/My Playlist/40 Days - Slowdive - Souvlaki.flac,CLEAN,content extends to 21269Hz (Nyquist 22050Hz) - looks genuine,44100,21269,22050,17.4
/home/adam/driveBig/Music/My Playlist/3 Speed - Eels - Meet the Eels - Essential Eels.flac,CLEAN,content extends to 21173Hz (Nyquist 22050Hz) - looks genuine,44100,21173,22050,12.9
/home/adam/driveBig/Music/My Playlist/777 - Joji - Nectar.flac,CLEAN,content extends to 21485Hz (Nyquist 22050Hz) - looks genuine,44100,21485,22050,18.3
/home/adam/driveBig/Music/My Playlist/A Love Profound - Bully - Lucky for You.flac,CLEAN,content extends to 21361Hz (Nyquist 22050Hz) - looks genuine,44100,21361,22050,21.8
"/home/adam/driveBig/Music/My Playlist/10,000 Emerald Pools - BØRNS - Candy.flac",CLEAN,content extends to 21350Hz (Nyquist 22050Hz) - looks genuine,44100,21350,22050,22.5
/home/adam/driveBig/Music/My Playlist/Alison - Slowdive - Souvlaki.flac,CLEAN,content extends to 21286Hz (Nyquist 22050Hz) - looks genuine,44100,21286,22050,18.1
/home/adam/driveBig/Music/My Playlist/Across the Border - Electric Light Orchestra - Out of the Blue.flac,CLEAN,content extends to 21447Hz (Nyquist 22050Hz) - looks genuine,44100,21447,22050,27.7
/home/adam/driveBig/Music/My Playlist/All These Things That I've Done - The Killers - Hot Fuss.flac,CLEAN,content extends to 21420Hz (Nyquist 22050Hz) - looks genuine,44100,21420,22050,9.6
/home/adam/driveBig/Music/My Playlist/All I Do - Bully - Lucky for You.flac,CLEAN,content extends to 21216Hz (Nyquist 22050Hz) - looks genuine,44100,21216,22050,17.5
/home/adam/driveBig/Music/My Playlist/All Night Radio - Ado - Ado's Best Adobum.flac,CLEAN,content extends to 21366Hz (Nyquist 22050Hz) - looks genuine,44100,21366,22050,23
/home/adam/driveBig/Music/My Playlist/All She’s Got - Sum 41 - All Killer No Filler.flac,CLEAN,content extends to 21264Hz (Nyquist 22050Hz) - looks genuine,44100,21264,22050,13.9
/home/adam/driveBig/Music/My Playlist/All the Ghosts Still Talk About an Angel They Once Knew - Daniel Champagne - Trying To Hold The Setting Sun.flac,CLEAN,content extends to 21323Hz (Nyquist 22050Hz) - looks genuine,44100,21323,22050,21.4
/home/adam/driveBig/Music/My Playlist/All Star - Smash Mouth - Astro Lounge.flac,CLEAN,content extends to 21318Hz (Nyquist 22050Hz) - looks genuine,44100,21318,22050,21.3
