path,verdict,detail,samplerate,cutoff_hz,nyquist_hz,slope_db_per_khz
/home/adam/driveBig/Music/Lofi/10.05 MB.flac,GRADUAL_ROLLOFF,"rolloff at ~15940Hz but gentle (1.7dB/kHz) - could be an old master/analog source, not necessarily transcoded",44100,15940,22050,1.7
/home/adam/driveBig/Music/Lofi/10.03 MB.flac,GRADUAL_ROLLOFF,"rolloff at ~19767Hz but gentle (8.0dB/kHz) - could be an old master/analog source, not necessarily transcoded",44100,19767,22050,8.0
/home/adam/driveBig/Music/Lofi/18.64 MB.flac,GRADUAL_ROLLOFF,"rolloff at ~9162Hz but gentle (4.1dB/kHz) - could be an old master/analog source, not necessarily transcoded",44100,9162,22050,4.1
/home/adam/driveBig/Music/Lofi/10.12 MB.flac,GRADUAL_ROLLOFF,"rolloff at ~20941Hz but gentle (9.5dB/kHz) - could be an old master/analog source, not necessarily transcoded",44100,20941,22050,9.5
/home/adam/driveBig/Music/Lofi/23.01 MB.flac,GRADUAL_ROLLOFF,"rolloff at ~5335Hz but gentle (5.4dB/kHz) - could be an old master/analog source, not necessarily transcoded",44100,5335,22050,5.4
/home/adam/driveBig/Music/Lofi/19.85 MB.flac,GRADUAL_ROLLOFF,"rolloff at ~17388Hz but gentle (1.5dB/kHz) - could be an old master/analog source, not necessarily transcoded",44100,17388,22050,1.5
/home/adam/driveBig/Music/Lofi/10.13 MB.flac,GRADUAL_ROLLOFF,"rolloff at ~15450Hz but gentle (2.1dB/kHz) - could be an old master/analog source, not necessarily transcoded",44100,15450,22050,2.1
/home/adam/driveBig/Music/Lofi/3.76 MB.flac,GRADUAL_ROLLOFF,"rolloff at ~12317Hz but gentle (4.2dB/kHz) - could be an old master/analog source, not necessarily transcoded",44100,12317,22050,4.2
/home/adam/driveBig/Music/Lofi/7.53 MB.flac,GRADUAL_ROLLOFF,"rolloff at ~16101Hz but gentle (2.8dB/kHz) - could be an old master/analog source, not necessarily transcoded",44100,16101,22050,2.8
/home/adam/driveBig/Music/Lofi/7.89 MB.flac,SUSPECT,"hard cutoff at ~10094Hz, steep 12.6dB/kHz -> likely transcoded from very low bitrate (<128kbps) or heavily filtered source",44100,10094,22050,12.6
/home/adam/driveBig/Music/Lofi/7.94 MB.flac,GRADUAL_ROLLOFF,"rolloff at ~11526Hz but gentle (5.3dB/kHz) - could be an old master/analog source, not necessarily transcoded",44100,11526,22050,5.3
/home/adam/driveBig/Music/Lofi/6.38 MB.flac,GRADUAL_ROLLOFF,"rolloff at ~6234Hz but gentle (5.0dB/kHz) - could be an old master/analog source, not necessarily transcoded",44100,6234,22050,5.0
/home/adam/driveBig/Music/Lofi/7.95 MB.flac,GRADUAL_ROLLOFF,"rolloff at ~15994Hz but gentle (1.2dB/kHz) - could be an old master/analog source, not necessarily transcoded",44100,15994,22050,1.2
