artist,album,artist_scrobbles,album_scrobbles,value_score,cost_per_artist_scrobble,cost_per_album_scrobble,best_source,best_price_nzd,jbhifi_title,jbhifi_price_nzd,jbhifi_est_total_nzd,jbhifi_match_score,jbhifi_in_stock,jbhifi_url,discogs_release_title,discogs_price_suggestion_nzd,discogs_price_suggestion_value,discogs_price_suggestion_currency,discogs_global_floor_price_usd,discogs_global_floor_price_nzd,discogs_num_for_sale_global,discogs_url,lastfm_artist_url
BoyWithUke,Fever Dreams,833,133,,,,,,,,,,,,,,,,,,,,https://www.last.fm/music/BoyWithUke
BoyWithUke,Burnout,833,129,,,,,,,,,,,,BoyWithUke - Burnout,,,,50.53,89.44,4,https://www.discogs.com/release/32434755-BoyWithUke-Burnout,https://www.last.fm/music/BoyWithUke
BoyWithUke,Melatonin Dreams,833,124,,,,,,,,,,,,,,,,,,,,https://www.last.fm/music/BoyWithUke
BoyWithUke,Lucid Dreams,833,117,,,,,,,,,,,,BoyWithUke - Lucid Dreams,,,,0.33,0.58,5,https://www.discogs.com/release/28915678-BoyWithUke-Lucid-Dreams,https://www.last.fm/music/BoyWithUke
BoyWithUke,Serotonin Dreams,833,111,,,,,,,,,,,,,,,,,,,,https://www.last.fm/music/BoyWithUke
Red Hot Chili Peppers,Stadium Arcadium,548,123,,,,,,,,,,,,Red Hot Chili Peppers - Stadium Arcadium,,,,132.75,234.98,16,https://www.discogs.com/release/8126637-Red-Hot-Chili-Peppers-Stadium-Arcadium,https://www.last.fm/music/Red+Hot+Chili+Peppers
Red Hot Chili Peppers,Californication,548,87,,,,,,,,,,,,Red Hot Chili Peppers - Californication,,,,29.71,52.59,33,https://www.discogs.com/release/12032445-Red-Hot-Chili-Peppers-Californication,https://www.last.fm/music/Red+Hot+Chili+Peppers
Red Hot Chili Peppers,The Getaway,548,59,,,,,,,,,,,,Red Hot Chili Peppers - The Getaway,,,,33.22,58.8,73,https://www.discogs.com/release/8663182-Red-Hot-Chili-Peppers-The-Getaway,https://www.last.fm/music/Red+Hot+Chili+Peppers
Red Hot Chili Peppers,By the Way,548,58,,,,,,,,,,,,Red Hot Chili Peppers - By The Way,,,,57.14,101.14,31,https://www.discogs.com/release/2382816-Red-Hot-Chili-Peppers-By-The-Way,https://www.last.fm/music/Red+Hot+Chili+Peppers
Red Hot Chili Peppers,Blood Sugar Sex Magik,548,53,,,,,,,,,,,,Red Hot Chili Peppers - Blood Sugar Sex Magik,,,,88.5,156.65,100,https://www.discogs.com/release/375491-Red-Hot-Chili-Peppers-Blood-Sugar-Sex-Magik,https://www.last.fm/music/Red+Hot+Chili+Peppers
Of Monsters and Men,All is Love and Pain in the Mouse Parade,415,153,,,,,,,,,,,,Of Monsters And Men - All Is Love And Pain In The Mouse Parade,,,,45.71,80.91,35,https://www.discogs.com/release/35391511-Of-Monsters-And-Men-All-Is-Love-And-Pain-In-The-Mouse-Parade,https://www.last.fm/music/Of+Monsters+and+Men
Of Monsters and Men,Beneath The Skin (Deluxe),415,93,,,,,,,,,,,,Of Monsters And Men - Beneath The Skin,,,,221.25,391.63,3,https://www.discogs.com/release/7374229-Of-Monsters-And-Men-Beneath-The-Skin,https://www.last.fm/music/Of+Monsters+and+Men
Of Monsters and Men,My Head Is an Animal,415,57,,,,,,,,,,,,Of Monsters And Men - My Head Is An Animal,,,,22.99,40.69,39,https://www.discogs.com/release/3517492-Of-Monsters-And-Men-My-Head-Is-An-Animal,https://www.last.fm/music/Of+Monsters+and+Men
