artist,album
Diiv,frog in boiling water
jet,get born rarities
slowdive,souvlaki
various artists,Pulp Fiction: Music From The Motion Picture
arctic monkeys,Favourite Worst Nightmare
red hot chili peppers,By The Way
goodshirt,Good
my bloody valentine,Loveless
radiohead,the bends
the smiths,the Queen Is Dead
bon jovi,Slippery When Wet
linkin park,Hybrid Theory
Foo Fighters,Foo Fighters
rage against the machine,Battle Of Los Angeles
foo fighters,There Is Nothing Left To Lose
pixies,Doolittle
the cranberries,No Need To Argue
nirvana,In Utero
twenty one pilots,Vessel
