artist,album,lastfm_artist_playcount,lastfm_album_playcount,lastfm_album_url,lastfm_artist_url,lastfm_album_tracks,lastfm_status
Diiv,frog in boiling water,46,0,https://www.last.fm/music/DIIV/Frog+in+Boiling+Water,https://www.last.fm/music/DIIV,10,ok
jet,get born rarities,59,0,https://www.last.fm/music/Jet/Get+Born+Rarities,https://www.last.fm/music/Jet,11,ok
slowdive,souvlaki,19,16,https://www.last.fm/music/Slowdive/Souvlaki,https://www.last.fm/music/Slowdive,10,ok
various artists,Pulp Fiction: Music From The Motion Picture,0,0,https://www.last.fm/music/Various+Artists/Pulp+Fiction:+Music+From+the+Motion+Picture,https://www.last.fm/music/Various+Artists,16,ok
arctic monkeys,Favourite Worst Nightmare,96,53,https://www.last.fm/music/Arctic+Monkeys/Favourite+Worst+Nightmare,https://www.last.fm/music/Arctic+Monkeys,12,ok
red hot chili peppers,By The Way,523,57,https://www.last.fm/music/Red+Hot+Chili+Peppers/By+the+Way,https://www.last.fm/music/Red+Hot+Chili+Peppers,16,ok
goodshirt,Good,34,17,https://www.last.fm/music/Goodshirt/Good,https://www.last.fm/music/Goodshirt,13,ok
my bloody valentine,Loveless,28,24,https://www.last.fm/music/my+bloody+valentine/Loveless,https://www.last.fm/music/my+bloody+valentine,11,ok
radiohead,the bends,59,8,https://www.last.fm/music/Radiohead/The+Bends,https://www.last.fm/music/Radiohead,12,ok
the smiths,the Queen Is Dead,24,23,https://www.last.fm/music/The+Smiths/The+Queen+Is+Dead,https://www.last.fm/music/The+Smiths,10,ok
bon jovi,Slippery When Wet,53,40,https://www.last.fm/music/Bon+Jovi/Slippery+When+Wet,https://www.last.fm/music/Bon+Jovi,10,ok
linkin park,Hybrid Theory,33,7,https://www.last.fm/music/Linkin+Park/Hybrid+Theory,https://www.last.fm/music/Linkin+Park,12,ok
Foo Fighters,Foo Fighters,142,0,https://www.last.fm/music/Foo+Fighters/Foo+Fighters,https://www.last.fm/music/Foo+Fighters,12,ok
rage against the machine,Battle Of Los Angeles,81,0,https://www.last.fm/music/Rage+Against+the+Machine/Battle+of+Los+Angeles,https://www.last.fm/music/Rage+Against+the+Machine,0,ok
foo fighters,There Is Nothing Left To Lose,142,9,https://www.last.fm/music/Foo+Fighters/There+Is+Nothing+Left+to+Lose,https://www.last.fm/music/Foo+Fighters,11,ok
pixies,Doolittle,90,48,https://www.last.fm/music/Pixies/Doolittle,https://www.last.fm/music/Pixies,15,ok
the cranberries,No Need To Argue,138,44,https://www.last.fm/music/The+Cranberries/No+Need+to+Argue,https://www.last.fm/music/The+Cranberries,13,ok
nirvana,In Utero,70,32,https://www.last.fm/music/Nirvana/In+Utero,https://www.last.fm/music/Nirvana,12,ok
twenty one pilots,Vessel,148,33,https://www.last.fm/music/Twenty+One+Pilots/Vessel,https://www.last.fm/music/Twenty+One+Pilots,12,ok
